Gyro Roll;Gyro Pitch;Gyro Yaw;Accel X;Accel Y;Accel Z
0;0;0;0.335;-2.096;-7.38
0.035;0.026;0;-0.455;1.847;-8.966
0.022;-1.41E-03;0;-0.72;0.178;-12.134
-3.89E-03;-0.024;0;-0.411;-0.298;-11.945
0.012;0.021;0;0.51;2.105;-9.088
-0.02;0.027;0;-2.321;-0.194;-8.514
0.023;0.013;0;-0.484;2.307;-11.097
-0.012;0.034;0;0.436;0.141;-7.724
0.015;-5.59E-03;0;0.16;-0.859;-9.982
0.029;-3.36E-03;0;-2.153;-0.173;-9.082
0.025;0.023;0;-0.432;-0.688;-10.326
-0.031;0.011;0;-0.922;-1.471;-9.84
0.027;8.74E-03;0;1.498;1.727;-9.68
0.034;-0.016;0;-2.161;-1.029;-10.742
-3.55E-04;-0.027;0;1.59;-0.293;-8.263
-5.00E-03;-0.011;0;1.798;1.593;-8.377
0.024;-0.03;0;0.793;-1.003;-8.646
5.01E-03;-0.023;0;-1.544;2.018;-7.938
0.031;0.02;0;-0.018;-1.444;-11.567
-0.017;-2.80E-03;0;1.583;-0.417;-10.856
4.27E-04;1.99E-03;0;-1.578;-1.147;-11.66
-0.023;-0.03;0;-2.219;-1.234;-11.132
-0.028;-0.015;0;1.956;-0.91;-8.837
-8.64E-04;0.027;0;-0.267;2.155;-7.702
4.26E-03;0.013;0;1.1;2.37E-04;-10.263
-0.022;-1.25E-04;0;1.681;0.815;-8.971
-0.017;0.03;0;1.82;-2.335;-9.843
-0.031;9.55E-03;0;0.437;-0.848;-8.02
-5.65E-03;0.019;0;1.881;-0.558;-11.467
0.017;-2.43E-03;0;2.449;-1.565;-10.366
-0.021;-0.031;0;0.347;-0.637;-10.844
9.98E-03;0.018;0;2.345;0.083;-11.068
-0.01;0.029;0;0.424;1.775;-11.784
0.034;5.14E-03;0;-2.279;0.958;-7.856
0.017;-0.013;0;1.897;1.754;-10.978
-4.09E-03;0.027;0;1.546;-1.489;-9.58
-0.021;0.018;0;1.018;1.443;-7.913
2.75E-03;0.014;0;1.567;2.057;-11.277
-0.014;2.21E-03;0;-1.073;-0.318;-7.625
4.53E-03;0.032;0;1.169;0.721;-10.52
-0.014;-4.19E-03;0;-2.009;0.445;-10.428
-4.82E-03;0.03;0;-0.288;-0.294;-7.522
-0.014;-0.026;0;1.565;1.471;-9.198
-3.06E-03;-7.12E-03;0;-1.253;-1.487;-10.76
0.025;0.027;0;1.38;-0.997;-7.593
6.71E-03;0.029;0;-2.116;-1.283;-9.832
6.10E-04;-0.024;0;1.691;-1.14;-7.666
-0.015;-6.58E-04;0;-0.589;1.48;-9.42
0.024;0.018;0;1.913;2.452;-9.097
2.28E-03;3.05E-03;0;-0.136;0.655;-9.144
-0.012;0.021;0;1.304;1.237;-11.775
0.025;2.59E-03;0;2.058;-1.015;-8.785
0.026;-6.47E-03;0;0.279;1.094;-11.067
-0.011;-0.03;0;1.76;0.364;-10.161
6.62E-03;-0.014;0;-0.559;-0.435;-11.161
-0.029;0.031;0;1.73;0.851;-8.62
0.025;-0.01;0;-0.247;-0.08;-7.359
-0.02;-7.52E-04;0;-2.303;-1.284;-7.936
0.022;0.022;0;0.117;-0.584;-10.776
-0.019;0.033;0;-1.386;-1.868;-8.287
0.025;-0.016;0;0.614;2.07;-8.65
-0.014;7.66E-03;0;1.729;-2.06;-10.728
0.016;-7.54E-03;0;-1.967;-1.888;-10.617
-0.01;0.015;0;-0.779;-2.198;-11.875
-0.013;-0.021;0;1.183;-1.103;-11.664
0.027;0.035;0;-0.552;-1.257;-8.171
-0.02;6.22E-04;0;-0.258;2.139;-7.706
6.17E-04;-1.74E-03;0;0.142;1.547;-7.487
6.64E-03;-0.027;0;0.655;0.294;-9.857
-0.028;0.018;0;2.349;-0.756;-9.748
